nome,k,g
quartzo,37.0,44.0
hornblenda,87.0,43.0
olivina,130.0,80.0
forsterita,129.6,81.0
granada_almandina,176.3,95.2
granada_zircao,19.8,19.7
epidoto,106.5,61.1
piroxenio_diopsidio,111.2,63.7
piroxenio_augite,94.1,57.0
feldspato_medio,37.5,15.0
anortita,84.0,40.0
albita,55.0,29.5
ortoclasio,46.8,27.3
nepelina,45.5,31.5
biotita,51.0,27.0
moscovita,52.0,30.9
caulinita,1.5,1.4
argila,20.9,6.85
argilas_golfo,25.0,9.0
clorita,95.3,11.4
ilita,39.4,11.7
caulinita2,37.9,14.8
calcita,76.8,32.0
dolomita,94.0,46.0
siderita,123.7,51.0
aragonita,47.0,38.5
anidrita,55.0,30.0
barita,54.9,23.7
pirita,143.0,128.0
fluorita,86.4,41.8
silvita,17.4,9.4
kerogenio,2.9,2.7
